"Name","Match","EXTRACT","New","Revision","Ticker","Obsolete Date","Obsolete Month","Obsolete Year","Obsolete Type","US Category Group","Firm Name","Inception Date","Inception Month","Inception Year","Net Assets Date","Net Assets - Share Class USD","Share Class Type","Index Fund","Estimated Share Class Net Flow (Yearly) Year2015 USD","Estimated Share Class Net Flow (Yearly) Year2016 USD","Estimated Share Class Net Flow (Yearly) Year2017 USD","Estimated Share Class Net Flow (Yearly) Year2018 USD","Estimated Share Class Net Flow (Yearly) Year2019 USD","Annual Report Net Expense Ratio Year2015","Annual Report Net Expense Ratio Year2016","Annual Report Net Expense Ratio Year2017","Annual Report Net Expense Ratio Year2018","Annual Report Net Expense Ratio Year2019","Inception Date...4","Inception Date...8","Same_Year"
"Delaware Foundation Cnsrv Allc A LW",TRUE," A LW","A","A","DFIAX.lw",2016-11-30,11,2016,"Liquidated","Allocation","Delaware Funds by Macquarie",1997-12-31,12,1997,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.15,1.18,NA,NA,NA,NA,NA,NA
"Delaware Foundation Cnsrv Allc C",TRUE," C","C","C",NA,2018-07-27,7,2018,"Merged","Allocation","Delaware Funds by Macquarie",1997-12-31,12,1997,2018-07-27,18193220,"C","No",-3376741.418,-5455653.562,-6765443.628,NA,NA,1.9,1.93,1.9,1.9,NA,NA,NA,NA
"Delaware Foundation Cnsrv Allc I",TRUE," I","I","Instl",NA,2018-07-27,7,2018,"Merged","Allocation","Delaware Funds by Macquarie",1997-12-31,12,1997,2018-07-27,7277852,"Inst","No",-2197170.986,-5863114.969,2330747.064,NA,NA,0.9,0.93,0.9,0.9,NA,NA,NA,NA
"Delaware Foundation Cnsrv Allc R",TRUE," R","R","R",NA,2018-07-27,7,2018,"Merged","Allocation","Delaware Funds by Macquarie",2003-06-02,6,2003,2018-07-27,1192059,"Retirement","No",-4602509.547,-285017.813,-2615296.12,NA,NA,1.4,1.43,1.4,1.4,NA,NA,NA,NA
"Delaware Foundation Moderate Allc A LW",TRUE," A LW","A","A","DFBAX.lw",2016-11-30,11,2016,"Liquidated","Allocation","Delaware Funds by Macquarie",1997-12-31,12,1997,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.16,1.15,NA,NA,NA,NA,NA,NA
"Delaware Foundation® Growth Allc A",TRUE," A","A","A",NA,2017-12-18,12,2017,"Merged","Allocation","Delaware Funds by Macquarie",1997-12-31,12,1997,2017-12-15,34209151,"A","No",-459175.088,-8077726.58,-7460093.745,NA,NA,1.17,1.16,1.15,NA,NA,NA,NA,NA
"Delaware Foundation® Growth Allc A LW",TRUE," A LW","A","A","DFGAX.lw",2016-11-30,11,2016,"Liquidated","Allocation","Delaware Funds by Macquarie",1997-12-31,12,1997,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.17,1.16,NA,NA,NA,NA,NA,NA
"Delaware Foundation® Growth Allc C",TRUE," C","C","C",NA,2017-12-18,12,2017,"Merged","Allocation","Delaware Funds by Macquarie",1997-12-31,12,1997,2017-12-15,10597997,"C","No",1284962.968,37734.492,-2851011.056,NA,NA,1.92,1.91,1.9,NA,NA,NA,NA,NA
"Delaware Foundation® Growth Allc I",TRUE," I","I","Instl",NA,2017-12-18,12,2017,"Merged","Allocation","Delaware Funds by Macquarie",1997-12-31,12,1997,2017-12-15,4798603,"Inst","No",-2913305.211,-3430019.198,-10404315.991,NA,NA,0.92,0.91,0.9,NA,NA,NA,NA,NA
"Delaware Foundation® Growth Allc R",TRUE," R","R","R",NA,2017-12-18,12,2017,"Merged","Allocation","Delaware Funds by Macquarie",2003-06-02,6,2003,2017-12-15,1907750,"Retirement","No",-11014951.989,-1296028.544,-1938550.307,NA,NA,1.42,1.41,1.4,NA,NA,NA,NA,NA
"Delaware Global Equity A{mg}",TRUE," A{mg}","A","A",NA,2019-10-04,10,2019,"Merged",NA,"Delaware Management Company",2019-07-02,7,2019,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-02,1
