"Name","Match","EXTRACT","New","Revision","Ticker","Obsolete Date","Obsolete Month","Obsolete Year","Obsolete Type","US Category Group","Firm Name","Inception Date","Inception Month","Inception Year","Net Assets Date","Net Assets - Share Class USD","Share Class Type","Index Fund","Estimated Share Class Net Flow (Yearly) Year2015 USD","Estimated Share Class Net Flow (Yearly) Year2016 USD","Estimated Share Class Net Flow (Yearly) Year2017 USD","Estimated Share Class Net Flow (Yearly) Year2018 USD","Estimated Share Class Net Flow (Yearly) Year2019 USD","Annual Report Net Expense Ratio Year2015","Annual Report Net Expense Ratio Year2016","Annual Report Net Expense Ratio Year2017","Annual Report Net Expense Ratio Year2018","Annual Report Net Expense Ratio Year2019","Inception Date...4","Inception Date...8","Same_Year"
"1290 Convertible Securities A LW",TRUE," A LW","A","A","TNFAX.lw",2016-11-30,11,2016,"Liquidated","Allocation","1290 Funds",2015-07-06,7,2015,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,2015-07-06,2015-07-06,0
"1290 DoubleLine Dynamic Allocation A LW",TRUE," A LW","A","A","TNXAX.lw",2016-11-30,11,2016,"Liquidated","Allocation","1290 Funds",2016-03-07,3,2016,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-03-07,2016-03-07,1
"1290 GAMCO Small/Mid Cap Value A LW",TRUE," A LW","A","A","TNVAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","1290 Funds",2014-11-12,11,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.35,NA,NA,NA,NA,NA,NA,NA
"1290 Global Equity Managers A",TRUE," A","A","A",NA,2016-07-18,7,2016,"Liquidated","International Equity","1290 Funds",2015-07-06,7,2015,2016-07-18,93739,"A","No",104685.92,NA,NA,NA,NA,1.4,NA,NA,NA,NA,2015-07-06,2015-07-06,0
"1290 Global Equity Managers A LW",TRUE," A LW","A","A",NA,2016-07-18,7,2016,"Liquidated","International Equity","1290 Funds",2015-07-06,7,2015,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,2015-07-06,2015-07-06,0
"1290 Global Equity Managers C",TRUE," C","C","C",NA,2016-07-18,7,2016,"Liquidated","International Equity","1290 Funds",2015-10-30,10,2015,NA,NA,"C","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-30,2015-10-30,0
"1290 Global Equity Managers I",TRUE," I","I","Instl",NA,2016-07-18,7,2016,"Liquidated","International Equity","1290 Funds",2015-07-06,7,2015,2016-07-18,26524361,"Inst","No",29757335.279,NA,NA,NA,NA,1.15,NA,NA,NA,NA,2015-07-06,2015-07-06,0
"1290 Global Equity Managers R",TRUE," R","R","R",NA,2016-07-18,7,2016,"Liquidated","International Equity","1290 Funds",2015-07-06,7,2015,2016-07-18,89060,"Retirement","No",100002.388,NA,NA,NA,NA,1.65,NA,NA,NA,NA,2015-07-06,2015-07-06,0
"1290 Global Talents A Load Waived",TRUE," A Load Waived","A","A","TNYAX.lw",2016-11-30,11,2016,"Liquidated","International Equity","1290 Funds",2016-04-11,4,2016,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-04-11,2016-04-11,1
"1290 High Yield Bond A Load Waived",TRUE," A Load Waived","A","A","TNHAX.lw",2016-11-30,11,2016,"Liquidated","Taxable Bond","1290 Funds",2014-11-12,11,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,NA,NA,NA
"1290 SmartBeta Equity A Load Waived",TRUE," A Load Waived","A","A","TNBAX.lw",2016-11-30,11,2016,"Liquidated","International Equity","1290 Funds",2014-11-12,11,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.35,NA,NA,NA,NA,NA,NA,NA
"1290 Unconstrained Bond Managers A LW",TRUE," A LW","A","A","TNUAX.lw",2016-11-30,11,2016,"Liquidated","Taxable Bond","1290 Funds",2015-07-06,7,2015,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,2015-07-06,2015-07-06,0
"13D Activist A Load Waived",TRUE," A Load Waived","A","A","DDDAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","13D Activist Fund",2011-12-28,12,2011,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.75,NA,NA,NA,NA,NA,NA,NA
"1492 Small Cap Core Alpha",TRUE," Alpha","Alpha","Alpha",NA,2016-02-26,2,2016,"Liquidated","U.S. Equity","1492 Capital Management, LLC",2011-12-29,12,2011,2016-02-26,508864,"Other","No",149738.219,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA
"1789 Growth and Income A",TRUE," A","A","A",NA,2017-06-28,6,2017,"Merged","Allocation","Pinnacle Capital Management",2013-08-26,8,2013,2017-06-28,1935553,"A","No",707690.402,406705.291,NA,NA,NA,1.26,1.26,NA,NA,NA,NA,NA,NA
"1789 Growth and Income A Load Waived",TRUE," A Load Waived","A","A",NA,2016-11-30,11,2016,"Liquidated","Allocation","Pinnacle Capital Management",2013-08-26,8,2013,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.26,NA,NA,NA,NA,NA,NA,NA
"1919 Financial Services A Load Waived",TRUE," A Load Waived","A","A","SBFAX.lw",2016-11-30,11,2016,"Liquidated","Sector Equity","1919 Funds",1998-11-16,11,1998,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.45,NA,NA,NA,NA,NA,NA,NA
"1919 Maryland Tax-Free Income A LW",TRUE," A LW","A","A","LMMDX.lw",2016-11-30,11,2016,"Liquidated","Municipal Bond","1919 Funds",1991-04-30,4,1991,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"1919 Socially Responsive Balanced A LW",TRUE," A LW","A","A","SSIAX.lw",2016-11-30,11,2016,"Liquidated","Allocation","1919 Funds",1992-11-06,11,1992,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.21,NA,NA,NA,NA,NA,NA,NA
"1919 Socially Responsive Balanced B",TRUE," B","B","B",NA,2019-07-05,7,2019,"Merged","Allocation","1919 Funds",1987-01-30,1,1987,2019-07-03,290674,"B","No",-1388421.453,-1048835.314,-915144.123,-465616.906,NA,1.83,2.39,2.16,2,NA,NA,NA,NA
"361 Global Equity Absolute Return I",TRUE," I","I","Instl",NA,2019-10-18,10,2019,"Liquidated","Alternative","361 Funds",2018-12-31,12,2018,2019-10-18,40645,"Inst","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-31,2018-12-31,0
"361 Global Equity Absolute Return Inv",TRUE," Inv","Inv","Investor",NA,2019-10-18,10,2019,"Liquidated","Alternative","361 Funds",2018-12-31,12,2018,2019-10-18,18160,"Inv","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-31,2018-12-31,0
"361 Global Equity Absolute Return Y",TRUE," Y","Y","Y",NA,2019-10-18,10,2019,"Liquidated","Alternative","361 Funds",2018-12-31,12,2018,2019-10-18,939630,"Inst","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-31,2018-12-31,0
"361 Global Managed Futures Strategy I LW",TRUE," I LW","I","Instl","AGFQX.lw",2016-11-30,11,2016,"Liquidated","Alternative","361 Funds",2014-02-12,2,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,2.15,NA,NA,NA,NA,NA,NA,NA
"361 Macro Opportunity Inv Load Waived",TRUE," Inv Load Waived","Inv","Investor","AGMQX.lw",2016-11-30,11,2016,"Liquidated","Alternative","361 Funds",2014-06-30,6,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,2.17,NA,NA,NA,NA,NA,NA,NA
"361 Managed Futures Strategy Inv LW",TRUE," Inv LW","Inv","Investor","AMFQX.lw",2016-11-30,11,2016,"Liquidated","Alternative","361 Funds",2011-12-20,12,2011,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,2.08,NA,NA,NA,NA,NA,NA,NA
"361 Market Neutral I",TRUE," I","I","Instl","ALSZX",2015-05-29,5,2015,"Liquidated","Alternative","361 Funds",2011-12-20,12,2011,2015-05-29,305214,"Inst","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361 Market Neutral Inv",TRUE," Inv","Inv","Investor","ALSQX",2015-05-29,5,2015,"Liquidated","Alternative","361 Funds",2011-12-20,12,2011,2015-05-29,56739,"Inv","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361 Market Neutral Inv Load Waived",TRUE," Inv Load Waived","Inv","Investor","ALSQX.lw",2015-05-29,5,2015,"Liquidated","Alternative","361 Funds",2011-12-20,12,2011,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3D Printing, Robotics and Tech A",TRUE," A","A","A",NA,2015-11-13,11,2015,"Liquidated","Sector Equity","3D Printing Fund",2015-12-31,12,2015,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-12-31,2015-12-31,1
"3D Printing, Robotics and Tech C",TRUE," C","C","C",NA,2015-11-13,11,2015,"Liquidated","Sector Equity","3D Printing Fund",2015-12-31,12,2015,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-12-31,2015-12-31,1
"3D Printing, Robotics and Tech Instl",TRUE," Instl","Instl","Instl","TDPIX",2015-11-13,11,2015,"Liquidated","Sector Equity","3D Printing Fund",2014-01-28,1,2014,2015-11-13,802046,"Inst","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3D Printing, Robotics and Tech Inv",TRUE," Inv","Inv","Investor","TDPNX",2015-11-13,11,2015,"Liquidated","Sector Equity","3D Printing Fund",2014-04-10,4,2014,2015-11-13,1284436,"Inv","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAM Select Income A Load Waived",TRUE," A Load Waived","A","A","CPUAX.lw",2016-11-30,11,2016,"Liquidated","Taxable Bond","AAM",2013-04-19,4,2013,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.99,0.99,NA,NA,NA,NA,NA,NA
"AAM/Bahl & Gaynor Income Growth A LW",TRUE," A LW","A","A","AFNAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","AAM",2012-07-05,7,2012,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.4,1.4,NA,NA,NA,NA,NA,NA
"AAM/HIMCO Short Duration A Load Waived",TRUE," A Load Waived","A","A","ASDAX.lw",2016-11-30,11,2016,"Liquidated","Taxable Bond","AAM",2014-06-30,6,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.26,0.33,NA,NA,NA,NA,NA,NA
"AAM/HIMCO Unconstrained Bond A LW",TRUE," A LW","A","A","AHUAX.lw",2016-11-30,11,2016,"Liquidated","Taxable Bond","AAM",2014-12-31,12,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAM/HIMCO Unconstrained Bond I",TRUE," I","I","Instl",NA,2016-06-27,6,2016,"Liquidated","Taxable Bond","AAM",2014-12-31,12,2014,2016-06-27,51153361,"Inst","No",NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA
"AAM/Phocas Real Estate I{mg}",TRUE," I{mg}","I","Instl",NA,2018-08-27,8,2018,"Merged","Sector Equity","AAM",2018-08-24,8,2018,NA,NA,"Inst","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-24,2018-08-24,1
"AB 2000 Retirement Strategy A",TRUE," A","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,112244,"A","No",NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA
"AB 2000 Retirement Strategy A LW",TRUE," A LW","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA
"AB 2000 Retirement Strategy Advisor",TRUE," Advisor","Advisor","Advisor",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,2,"Adv","No",NA,NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA
"AB 2000 Retirement Strategy B",TRUE," B","B","B",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,25401,"B","No",NA,NA,NA,NA,NA,1.51,NA,NA,NA,NA,NA,NA,NA
"AB 2000 Retirement Strategy C",TRUE," C","C","C",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,92141,"C","No",NA,NA,NA,NA,NA,1.51,NA,NA,NA,NA,NA,NA,NA
"AB 2000 Retirement Strategy I",TRUE," I","I","Instl",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,12,"Inst","No",NA,NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA
"AB 2000 Retirement Strategy K",TRUE," K","K","K",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,342753,"Retirement","No",NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA
"AB 2000 Retirement Strategy R",TRUE," R","R","R",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,17396,"Retirement","No",NA,NA,NA,NA,NA,1.01,NA,NA,NA,NA,NA,NA,NA
"AB 2005 Retirement Strategy A",TRUE," A","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,1598168,"A","No",NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA
"AB 2005 Retirement Strategy A LW",TRUE," A LW","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA
"AB 2005 Retirement Strategy Advisor",TRUE," Advisor","Advisor","Advisor",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,1173,"Adv","No",NA,NA,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA
"AB 2005 Retirement Strategy B",TRUE," B","B","B",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,335,"B","No",NA,NA,NA,NA,NA,1.57,NA,NA,NA,NA,NA,NA,NA
"AB 2005 Retirement Strategy C",TRUE," C","C","C",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,146753,"C","No",NA,NA,NA,NA,NA,1.57,NA,NA,NA,NA,NA,NA,NA
"AB 2005 Retirement Strategy I",TRUE," I","I","Instl",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,44,"Inst","No",NA,NA,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA
"AB 2005 Retirement Strategy K",TRUE," K","K","K",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,30536,"Retirement","No",NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA
"AB 2005 Retirement Strategy R",TRUE," R","R","R",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,12702,"Retirement","No",NA,NA,NA,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA
"AB 2010 Retirement Strategy A",TRUE," A","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,1423266,"A","No",NA,NA,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA
"AB 2010 Retirement Strategy A LW",TRUE," A LW","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA
"AB 2010 Retirement Strategy Advisor",TRUE," Advisor","Advisor","Advisor",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,70282,"Adv","No",NA,NA,NA,NA,NA,0.59,NA,NA,NA,NA,NA,NA,NA
"AB 2010 Retirement Strategy B",TRUE," B","B","B",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,33684,"B","No",NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,NA,NA,NA
"AB 2010 Retirement Strategy C",TRUE," C","C","C",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,517422,"C","No",NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,NA,NA,NA
"AB 2010 Retirement Strategy I",TRUE," I","I","Instl",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,2,"Inst","No",NA,NA,NA,NA,NA,0.59,NA,NA,NA,NA,NA,NA,NA
"AB 2010 Retirement Strategy K",TRUE," K","K","K",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,99808,"Retirement","No",NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA,NA,NA,NA
"AB 2010 Retirement Strategy R",TRUE," R","R","R",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,676628,"Retirement","No",NA,NA,NA,NA,NA,1.09,NA,NA,NA,NA,NA,NA,NA
"AB 2015 Retirement Strategy A",TRUE," A","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,4574689,"A","No",NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA
"AB 2015 Retirement Strategy A LW",TRUE," A LW","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA
"AB 2015 Retirement Strategy Advisor",TRUE," Advisor","Advisor","Advisor",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,12602,"Adv","No",NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA
"AB 2015 Retirement Strategy B",TRUE," B","B","B",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,240115,"B","No",NA,NA,NA,NA,NA,1.62,NA,NA,NA,NA,NA,NA,NA
"AB 2015 Retirement Strategy C",TRUE," C","C","C",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,1369780,"C","No",NA,NA,NA,NA,NA,1.62,NA,NA,NA,NA,NA,NA,NA
"AB 2015 Retirement Strategy I",TRUE," I","I","Instl",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,33113,"Inst","No",NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA
"AB 2015 Retirement Strategy K",TRUE," K","K","K",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,668692,"Retirement","No",NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA
"AB 2015 Retirement Strategy R",TRUE," R","R","R",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,2097545,"Retirement","No",NA,NA,NA,NA,NA,1.12,NA,NA,NA,NA,NA,NA,NA
"AB 2020 Retirement Strategy A",TRUE," A","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,8082566,"A","No",NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,NA,NA
"AB 2020 Retirement Strategy A LW",TRUE," A LW","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,NA,NA
"AB 2020 Retirement Strategy Advisor",TRUE," Advisor","Advisor","Advisor",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,43602,"Adv","No",NA,NA,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA
"AB 2020 Retirement Strategy B",TRUE," B","B","B",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,243660,"B","No",NA,NA,NA,NA,NA,1.66,NA,NA,NA,NA,NA,NA,NA
"AB 2020 Retirement Strategy C",TRUE," C","C","C",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,2954258,"C","No",NA,NA,NA,NA,NA,1.66,NA,NA,NA,NA,NA,NA,NA
"AB 2020 Retirement Strategy I",TRUE," I","I","Instl",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,9336,"Inst","No",NA,NA,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA
"AB 2020 Retirement Strategy K",TRUE," K","K","K",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,2165601,"Retirement","No",NA,NA,NA,NA,NA,0.91,NA,NA,NA,NA,NA,NA,NA
"AB 2020 Retirement Strategy R",TRUE," R","R","R",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,2094054,"Retirement","No",NA,NA,NA,NA,NA,1.16,NA,NA,NA,NA,NA,NA,NA
"AB 2025 Retirement Strategy A",TRUE," A","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,5821205,"A","No",NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA
"AB 2025 Retirement Strategy A LW",TRUE," A LW","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA
"AB 2025 Retirement Strategy Advisor",TRUE," Advisor","Advisor","Advisor",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,209415,"Adv","No",NA,NA,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA
"AB 2025 Retirement Strategy B",TRUE," B","B","B",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,265475,"B","No",NA,NA,NA,NA,NA,1.68,NA,NA,NA,NA,NA,NA,NA
"AB 2025 Retirement Strategy C",TRUE," C","C","C",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,1744314,"C","No",NA,NA,NA,NA,NA,1.68,NA,NA,NA,NA,NA,NA,NA
"AB 2025 Retirement Strategy I",TRUE," I","I","Instl",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,25085,"Inst","No",NA,NA,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA
"AB 2025 Retirement Strategy K",TRUE," K","K","K",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,3099863,"Retirement","No",NA,NA,NA,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA
"AB 2025 Retirement Strategy R",TRUE," R","R","R",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,2537836,"Retirement","No",NA,NA,NA,NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA
"AB 2030 Retirement Strategy A",TRUE," A","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,6212793,"A","No",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"AB 2030 Retirement Strategy A LW",TRUE," A LW","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"AB 2030 Retirement Strategy Advisor",TRUE," Advisor","Advisor","Advisor",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,497804,"Adv","No",NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA
"AB 2030 Retirement Strategy B",TRUE," B","B","B",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,444736,"B","No",NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA
"AB 2030 Retirement Strategy C",TRUE," C","C","C",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,1576279,"C","No",NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA
"AB 2030 Retirement Strategy I",TRUE," I","I","Instl",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,36346,"Inst","No",NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA
"AB 2030 Retirement Strategy K",TRUE," K","K","K",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,1967037,"Retirement","No",NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA
"AB 2030 Retirement Strategy R",TRUE," R","R","R",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,3328397,"Retirement","No",NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA
"AB 2035 Retirement Strategy A",TRUE," A","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,4576771,"A","No",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"AB 2035 Retirement Strategy A LW",TRUE," A LW","A","A",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"AB 2035 Retirement Strategy Advisor",TRUE," Advisor","Advisor","Advisor",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,182143,"Adv","No",NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA
"AB 2035 Retirement Strategy B",TRUE," B","B","B",NA,2015-11-20,11,2015,"Liquidated","Allocation","AllianceBernstein",2005-09-01,9,2005,2015-11-19,220466,"B","No",NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA
